³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-10-28 21:00,4443629,0,2635338,6400,6400,7078968
2023-10-28 23:00,4525049,0,2633476,6400,6400,7158525
2023-10-29 10:00,4523555,0,2633856,6400,6400,7157412
2023-10-29 21:00,1833100,3600,5323490,2800,6400,7156590
2023-10-30 7:00,4243340,400,2913550,6000,6400,7156891
2023-10-30 18:00,4530510,0,2603651,6400,6400,7134162
2023-10-31 18:00,181907,5592,6956174,808,6400,7138082
2023-11-01 6:00,3657090,199,3470237,6200,6400,7127328
2023-11-06 23:00,4687766,1993,2457168,4407,6400,7144935
2023-11-07 7:00,703829,5968,6426102,432,6400,7129932
2023-11-07 13:00,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:00,5845985,65,1336126,6334,6400,7182112
2023-11-07 15:00,5845985,65,1336126,6334,6400,7182112
2023-11-07 17:00,5842136,65,1341054,6334,6400,7183191
2023-11-07 20:48,5016984,13,2168141,6386,6400,7185126
2023-11-07 22:07,3926280,1202,3247424,5197,6400,7173705
2023-11-07 22:09,3926280,1202,3247424,5197,6400,7173705
2023-11-07 22:11,3926280,1202,3247424,5197,6400,7173705
2023-11-07 22:21,3926280,1202,3247424,5197,6400,7173705
2023-11-07 23:03,264450,5202,6909691,1197,6400,7174142
2023-11-07 23:13,1451456,3902,5723183,2497,6400,7174640
2023-11-07 23:24,5005878,2,2170473,6397,6400,7176352
2023-11-08 00:05,5009557,1,2167034,6398,6400,7176591
2023-11-08 00:16,5009557,1,2167034,6398,6400,7176591
2023-11-08 00:26,5009557,1,2167034,6398,6400,7176591
2023-11-08 01:08,5009557,1,2167034,6398,6400,7176591
2023-11-08 01:18,5009557,1,2167034,6398,6400,7176591
2023-11-08 01:29,5009557,1,2167034,6398,6400,7176591
2023-11-08 02:10,5009557,1,2167034,6398,6400,7176591
2023-11-08 02:21,5009557,1,2167034,6398,6400,7176591
2023-11-08 03:02,5009557,1,2167034,6398,6400,7176591
2023-11-08 03:13,5009557,1,2167034,6398,6400,7176591
2023-11-08 03:23,5009557,1,2167034,6398,6400,7176591
2023-11-08 04:05,5009557,1,2167034,6398,6400,7176591
2023-11-08 04:15,5009557,1,2167034,6398,6400,7176591
2023-11-08 04:26,5009557,1,2167034,6398,6400,7176591
2023-11-08 05:07,5009557,1,2167034,6398,6400,7176591
2023-11-08 05:18,5009557,1,2167034,6398,6400,7176591
2023-11-08 05:28,5009557,1,2167034,6398,6400,7176591
2023-11-08 06:10,5009557,1,2167034,6398,6400,7176591
2023-11-08 06:20,5009557,1,2167034,6398,6400,7176591
2023-11-08 07:02,5009557,1,2167034,6398,6400,7176591
2023-11-08 07:12,5009557,1,2167034,6398,6400,7176591
2023-11-08 07:23,5009557,1,2167034,6398,6400,7176591
2023-11-08 08:05,5009557,1,2167034,6398,6400,7176591
2023-11-08 08:15,5009557,1,2167034,6398,6400,7176591
2023-11-08 08:25,5009557,1,2167034,6398,6400,7176591
2023-11-08 09:07,441274,5000,6735984,1398,6398,7177258
2023-11-08 09:17,4106640,1000,3071433,5399,6400,7178073
2023-11-08 09:28,5022182,0,2156403,6399,6400,7178585
2023-11-08 10:10,470907,4998,6706106,1401,6399,7177014
2023-11-08 10:20,470907,4998,6706106,1401,6399,7177014
2023-11-08 10:30,929178,4498,6248046,1901,6399,7177225
2023-11-08 11:02,3411736,1798,3766746,4601,6400,7178483
2023-11-08 11:12,3411736,1798,3766746,4601,6400,7178483
2023-11-08 11:23,3595844,1598,3582726,4801,6400,7178571
2023-11-08 12:04,843469,4598,6335626,1801,6400,7179095
2023-11-08 12:15,843469,4598,6335626,1801,6400,7179095
2023-11-08 12:25,843469,4598,6335626,1801,6400,7179095
2023-11-08 13:07,953412,98,6226626,6301,6400,7180039
2023-11-08 13:18,953412,98,6226626,2000,2099,7180039
2023-11-08 13:28,953412,4398,6226626,2000,6399,7180039
2023-11-08 14:10,315720,5098,6864486,1300,6399,7180206
2023-11-08 14:21,315720,5098,6864486,1300,6399,7180206
2023-11-08 15:02,774685,4598,6405288,1801,6400,7179973
2023-11-08 15:13,774685,4598,6405288,1801,6400,7179973
2023-11-08 15:23,774685,4598,6405288,1801,6400,7179973
2023-11-08 16:05,1863701,3398,5316678,3001,6400,7180380
2023-11-08 16:16,2315875,2898,4864608,3501,6400,7180484
2023-11-08 16:26,3763651,1298,3417548,5101,6400,7181200
2023-11-08 17:09,614625,4798,6567672,1601,6400,7182298
2023-11-08 17:19,614625,4798,6567672,1601,6400,7182298
2023-11-08 17:30,704580,4698,6477752,1701,6400,7182333
2023-11-08 18:01,885289,4498,6297152,1901,6400,7182442
2023-11-08 18:12,885289,4498,6297152,1901,6400,7182442
2023-11-08 18:22,1701781,3598,5481052,2801,6400,7182834
2023-11-08 19:05,4875893,98,2308692,6301,6400,7184586
2023-11-08 19:15,4875893,98,2308692,6301,6400,7184586
2023-11-08 19:26,3963437,1098,3221092,5301,6400,7184530
2023-11-08 20:08,4881742,97,2306298,6302,6400,7188041
2023-11-08 20:19,4881742,97,2306298,6302,6400,7188041
2023-11-08 20:29,4881742,97,2306298,6302,6400,7188041
2023-11-08 21:01,4881742,97,2306298,6302,6400,7188041
2023-11-08 21:12,4050634,997,3137478,5402,6400,7188113
2023-11-08 21:22,4050634,997,3137478,5402,6400,7188113
2023-11-08 22:05,360790,4997,6827878,1402,6400,7188669
2023-11-08 22:15,360790,4997,6827878,1402,6400,7188669
