³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-10-27,1208684.81405087,4413.88000515,6155928.796527,1696.0,=C2+E2,=B2+D2
2023-10-27,1208684.81405087,4413.88000515,6155928.796527,1696.0,=C3+E3,7364613.61057787
2023-10-27 19,1208684.81405087,4413.88000515,6155928.796527,1696.0,=C4+E4,7364613.61057787
2023-10-27 20,1208684.81405087,4413.88000515,6155928.796527,1696.0,=C5+E5,7364613.61057787
2023-10-27 20,1134247.61405087,4513.88000515,6230368.796527,1596.0,=C6+E6,7364616.41057787
2023-10-27 20,763062.11405087,5013.88000515,6601658.796527,1096.0,=C7+E7,7364720.91057787
2023-10-27 21,763062.11405087,5013.88000515,6601658.796527,1096.0,=C8+E8,7364720.91057787
2023-10-27 21,688724.96405671,5113.74559654,6676028.796527,996.0,=C9+E9,7364753.76058371
2023-10-27 22,688724.96405671,5113.74559654,6676028.796527,996.0,=C10+E10,7364753.76058371
2023-10-27 22,763287.66405671,5013.74559654,6601468.796527,1096.0,=C11+E11,7364756.46058371
2023-10-27 22,688750.41405868,5113.61154828,6676028.796527,996.0,=C12+E12,7364779.21058568
2023-10-27 23,688750.41405868,5113.61154828,6676028.796527,996.0,=C13+E13,7364779.21058568
2023-10-27 23,539675.91405868,5313.61154828,6825118.796527,796.0,=C14+E14,7364794.71058568
2023-10-27 23,391001.61405868,5513.61154828,6973858.796527,596.0,=C15+E15,7364860.41058568
2023-10-28 00,391001.61405868,5513.61154828,6973858.796527,596.0,=C16+E16,7364860.41058568
2023-10-28 00,242527.41405868,5713.61154828,7122348.796527,396.0,=C17+E17,7364876.21058568
2023-10-28 00,168290.31405868,5813.61154828,7270868.796527,196.0,=C18+E18,7439159.11058568
2023-10-28 00,19816.11405868,6013.61154828,7345108.796527,96.0,=C19+E19,7364924.91058568
2023-10-28 01,19816.11405868,6013.61154828,7345108.796527,96.0,=C20+E20,7364924.91058568
2023-10-28 10,1937436.04151418,3413.61154828,5501858.796535,2596.0,=C21+E21,7439294.83804918
2023-10-28 10,2011099.19151418,3313.61154828,5428218.796535,2696.0,=C22+E22,7439317.98804918
2023-10-28 10,2084762.34151418,3213.61154828,5354568.796535,2796.0,=C23+E23,7439331.13804918
2023-10-28 10,2084762.34151418,3213.61154828,5280928.796535,2896.0,=C24+E24,7365691.13804918
2023-10-28 10,2158425.49151418,3113.61154828,5280928.796535,2896.0,=C25+E25,7439354.28804918
2023-10-28 11,2158425.49151418,3113.61154828,5280928.796535,2896.0,=C26+E26,7439354.28804918
2023-10-28 11,2158425.49151418,3113.61154828,5280928.796535,2896.0,6009.61154828,7439354.28804918
2023-10-28 11,2158425,3113,5280928,2896,6009,7439354
2023-10-28 12,2158425,3113,5280928,2896,6009,7439354
2023-10-28 13,2158425,3113,5280928,2896,6009,7439354
2023-10-28 13,2306551,2913,5132858,3096,6009,7439410
2023-10-28 14,2306551,2913,5132858,3096,6009,7439410
2023-10-28 14,2454677,2713,4984798,3296,6009,7439476
2023-10-28 14,2528740,2613,4910768,3396,6009,7439509
2023-10-28 15,2528740,2613,4910768,3396,6009,7439509
2023-10-28 15,2676866,2413,4762708,3596,6009,7439574
2023-10-28 15,2898955,2113,4540618,3896,6009,7439573
2023-10-28 15,3195206,1713,4244458,4296,6009,7439665
2023-10-28 15,3713647,1013,3726178,4996,6009,7439826
2023-10-28 15,4454276,13,2911728,6096,6109,7366005
2023-10-28 15,0,13,7374428,6096,6109,7374429
2023-10-28 16,0,6108,7374428,0,6108,7374429
2023-10-28 16,296252,5708,7078268,400,6108,7374521
2023-10-28 16,1259071,4408,6115748,1700,6108,7374819
2023-10-28 16,1999700,3408,5375348,2700,6108,7375049
